group,timestamp,natural,humanlike,conscious,lifelike,moving_elegantly,alive,lively,organic,lifelike2,interactive,responsive,like,friendly,kind,pleasant,nice,competent,knowledgeable,responsible,intelligent,sensible,relaxed_b,calm_b,surprised_b,relaxed_a,calm_a,surprised_a
"memory",24-10-2022 16:45:46,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3
"memory",26-10-2022 14:54:29,3,2,4,2,2,2,3,2,2,2,2,3,4,4,3,3,4,3,3,1,3,4,2,2,4,4,3
"memory",26-10-2022 15:06:51,4,3,2,3,5,5,2,4,3,4,3,4,5,4,3,2,3,4,4,3,4,4,2,3,4,4,3
"memory",26-10-2022 15:12:36,2,1,5,1,2,1,5,1,1,1,5,2,3,3,1,4,1,1,3,1,5,1,5,1,1,1,1
"memory",26-10-2022 15:13:52,4,3,2,3,2,4,4,2,3,2,2,4,5,4,4,2,4,4,5,3,2,3,2,3,3,2,4
"memory",31-10-2022 20:57:21,4,4,3,4,3,4,2,4,4,5,1,5,5,5,5,1,4,4,4,4,1,5,2,3,4,4,4
"memory",31-10-2022 22:12:55,3,3,2,4,3,4,3,3,3,4,2,4,4,4,4,3,4,4,3,3,2,4,2,3,5,5,3
"memory",31-10-2022 22:31:01,5,5,1,5,4,5,1,5,5,5,1,5,5,5,5,1,5,5,5,5,1,3,3,3,5,3,5
"memory",31-10-2022 22:54:35,4,4,3,4,4,5,1,4,4,4,2,5,5,5,5,1,5,4,5,4,2,4,2,3,4,4,3
"memory",1-11-2022 11:34:25,5,4,3,4,4,5,2,4,4,5,1,5,5,5,5,1,5,5,4,4,1,3,3,3,4,4,4
"memory",1-11-2022 20:22:53,3,4,2,3,2,5,3,4,4,3,1,4,5,4,4,2,3,4,3,5,3,3,2,3,4,3,5
"memory",2-11-2022 8:48:37,5,4,2,4,2,4,2,4,4,4,1,4,4,3,4,2,4,4,4,4,3,4,2,3,4,4,5
"memory",2-11-2022 8:55:07,3,4,3,2,4,4,3,4,2,4,3,3,4,4,4,1,4,5,3,4,1,4,2,2,4,4,2
"memory",3-11-2022 16:05:35,4,4,2,4,2,5,2,2,4,4,1,4,5,4,5,2,4,4,4,4,3,4,2,2,4,4,2
"memory",3-11-2022 21:00:26,2,2,3,2,2,4,3,2,3,4,2,5,5,4,4,2,4,4,4,5,2,4,2,2,3,4,3
"no-memory",30-10-2022 12:39:27,3,2,2,3,4,3,4,4,3,3,4,4,4,4,4,4,3,2,2,3,3,4,4,5,4,4,4
"no-memory",30-10-2022 14:00:12,2,2,2,3,2,3,3,2,2,2,3,4,3,4,4,3,4,3,3,3,3,5,4,3,4,3,4
"no-memory",30-10-2022 15:09:13,2,3,3,3,1,4,2,3,3,5,3,2,4,4,2,2,2,4,4,3,4,4,2,4,4,4,3
"no-memory",30-10-2022 15:31:30,3,3,4,2,4,4,2,3,2,4,3,4,5,5,4,4,4,4,3,3,2,4,3,3,2,2,3
"no-memory",30-10-2022 18:41:45,3,3,2,3,3,4,3,2,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
"no-memory",30-10-2022 19:21:44,1,1,5,1,1,1,4,1,1,1,5,1,1,1,1,5,1,2,2,2,5,3,3,3,3,3,3
"no-memory",30-10-2022 20:32:18,3,3,2,3,4,4,2,3,3,4,2,4,4,4,3,2,4,3,4,4,2,4,2,3,5,5,2
"no-memory",30-10-2022 20:53:39,4,2,3,2,4,4,2,4,4,4,2,4,4,4,4,2,2,4,4,4,2,4,2,3,4,4,3
"no-memory",30-10-2022 23:35:07,4,4,4,4,4,5,2,3,4,4,1,4,5,5,4,1,4,4,4,4,4,5,1,4,5,4,4
"no-memory",31-10-2022 13:15:06,2,2,2,2,4,3,4,2,2,3,4,2,4,4,2,4,1,3,2,2,4,5,1,3,5,2,2
"no-memory",31-10-2022 13:17:45,1,1,3,3,3,4,4,1,2,4,2,4,4,4,3,4,2,4,3,2,4,4,2,3,4,4,4
"no-memory",31-10-2022 17:14:18,2,2,2,2,2,5,2,2,2,3,1,4,5,5,4,2,3,4,5,4,3,4,1,2,4,4,2
"no-memory",31-10-2022 17:36:20,4,1,2,2,2,3,2,2,2,4,2,4,4,4,4,2,3,4,4,4,3,4,2,4,4,4,4
"no-memory",31-10-2022 17:58:05,2,1,4,3,2,3,2,2,3,4,3,4,5,5,4,2,3,4,5,3,2,5,1,3,5,5,3
"no-memory",29-10-2022 21:29:35,2,1,3,1,1,4,4,2,1,1,5,3,5,5,2,3,2,2,1,2,5,5,4,1,1,1,2